"VARIANT","SEQ","FVS","FIA","PLANT"
"IE",2,"WL","073","LAOC"
"IE",3,"DF","202","PSME"
"IE",4,"GF","017","ABGR"
"IE",5,"WH","263","TSHE"
"IE",6,"RC","242","THPL"
"IE",7,"LP","108","PICO"
"IE",8,"ES","093","PIEN"
"IE",9,"AF","019","ABLA"
"IE",10,"PP","122","PIPO"
"IE",11,"MH","264","TSME"
"IE",12,"WB","101","PIAL"
"IE",13,"LM","113","PIFL2"
"IE",14,"LL","072","LALY"
"IE",15,"PM","133","PIMO"
"IE",16,"RM","066","JUSC2"
"IE",17,"PY","231","TABR2"
"IE",18,"AS","746","POTR5"
"IE",19,"CO","740","POPUL"
"IE",20,"MM","321","ACGL"
"IE",21,"PB","375","BEPA"
"IE",22,"OH","998","2TB"
"IE",23,"OS","299","2TN"
"KT",1,"WP","119","PIMO3"
"KT",2,"WL","073","LAOC"
"KT",3,"DF","202","PSME"
"KT",4,"GF","017","ABGR"
"KT",5,"WH","263","TSHE"
"KT",6,"RC","242","THPL"
"KT",7,"LP","108","PICO"
"KT",8,"ES","093","PIEN"
"KT",9,"AF","019","ABLA"
"KT",10,"PP","122","PIPO"
"KT",11,"OT","999","2TREE"
"LS",1,"JP","105","PIBA2"
"LS",2,"SC","130","PISY"
"LS",3,"RN","125","PIRE"
"LS",4,"RP","125","PIRE"
"LS",5,"WP","129","PIST"
"LS",6,"WS","094","PIGL"
"LS",7,"NS","091","PIAB"
"LS",8,"BF","012","ABBA"
"LS",9,"BS","095","PIMA"
"LS",10,"TA","071","LALA"
"LS",11,"WC","241","THOC2"
"LS",12,"EH","261","TSCA"
"LS",13,"OS","299","2TN"
"LS",14,"RC","068","JUVI"
"LS",15,"BA","543","FRNI"
"LS",16,"GA","544","FRPE"
"LS",17,"EC","742","PODE3"
"LS",18,"SV","317","ACSA2"
"LS",19,"RM","316","ACRU"
"LS",20,"BC","762","PRSE2"
"LS",21,"AE","972","ULAM"
"LS",22,"RL","975","ULRU"
"LS",23,"RE","977","ULTH"
"LS",24,"YB","371","BEAL2"
"LS",25,"BW","951","TIAM"
"LS",26,"SM","318","ACSA3"
"LS",27,"BM","314","ACNI5"
"LS",28,"AB","531","FAGR"
"LS",29,"WA","541","FRAM2"
"LS",30,"WO","802","QUAL"
"LS",31,"SW","804","QUBI"
"LS",32,"BR","823","QUMA2"
"LS",33,"CK","826","QUMU"
"LS",34,"RO","833","QURU"
"LS",35,"BO","837","QUVE"
"LS",36,"NP","809","QUEL"
"LS",37,"BH","402","CACO15"
"LS",38,"PH","403","CAGL8"
"LS",39,"SH","407","CAOV2"
"LS",40,"BT","743","POGR4"
"LS",41,"QA","746","POTR5"
"LS",42,"BP","741","POBA2"
"LS",43,"PB","375","BEPA"
"LS",44,"","",""
"LS",45,"BN","601","JUCI"
"LS",46,"WN","602","JUNI"
"LS",47,"HH","701","OSVI"
"LS",48,"BK","901","ROPS"
"LS",49,"OH","998","2TB"
"LS",50,"BE","313","ACNE2"
"LS",51,"ST","315","ACPE"
"LS",52,"MM","319","ACSP2"
"LS",53,"AH","391","CACA18"
"LS",54,"AC","421","CADE12"
"LS",55,"HK","462","CEOC"
"LS",56,"DW","491","COFL2"
"LS",57,"HT","500","CRATA"
"LS",58,"AP","660","MALUS"
"LS",59,"BG","693","NYSY"
"LS",60,"SY","731","PLOC"
"LS",61,"PR","761","PRPE2"
"LS",62,"CC","763","PRVI"
"LS",63,"PL","760","PRUNU"
"LS",64,"WI","920","SALIX"
"LS",65,"BL","922","SANI"
"LS",66,"DM","923","SAERF"
"LS",67,"SS","931","SAAL5"
"LS",68,"MA","935","SOAM3"
"NC",1,"OS","299","2TN"
"NC",2,"SP","117","PILA"
"NC",3,"DF","202","PSME"
"NC",4,"WF","015","ABCO"
"NC",5,"MA","361","ARME"
"NC",6,"IC","081","CADE27"
"NC",7,"BO","818","QUKE"
"NC",8,"TO","631","LIDE3"
"NC",9,"RF","020","ABMA"
"NC",10,"PP","122","PIPO"
"NC",11,"OH","998","2TB"
"NC",12,"RW","211","SESE3"
"NE",1,"BF","012","ABBA"
"NE",2,"TA","071","LALA"
"NE",3,"WS","094","PIGL"
"NE",4,"RS","097","PIRU"
"NE",5,"NS","091","PIAB"
"NE",6,"BS","095","PIMA"
"NE",7,"PI","090","PICEA"
"NE",8,"RN","125","PIRE"
"NE",9,"WP","129","PIST"
"NE",10,"LP","131","PITA"
"NE",11,"VP","132","PIVI2"
"NE",12,"WC","241","THOC2"
"NE",13,"AW","043","CHTH2"
"NE",14,"RC","068","JUVI"
"NE",15,"JU","057","JUNIP"
"NE",16,"EH","261","TSCA"
"NE",17,"HM","260","TSUGA"
"NE",18,"OP","100","PINUS"
"NE",19,"JP","105","PIBA2"
"NE",20,"SP","110","PIEC2"
"NE",21,"TM","123","PIPU5"
"NE",22,"PP","126","PIRI"
"NE",23,"PD","128","PISE"
"NE",24,"SC","130","PISY"
"NE",25,"OS","299","2TN"
"NE",26,"RM","316","ACRU"
"NE",27,"SM","318","ACSA3"
"NE",28,"BM","314","ACNI5"
"NE",29,"SV","317","ACSA2"
"NE",30,"YB","371","BEAL2"
"NE",31,"SB","372","BELE"
"NE",32,"RB","373","BENI"
"NE",33,"PB","375","BEPA"
"NE",34,"GB","379","BEPO"
"NE",35,"HI","400","CARYA"
"NE",36,"PH","403","CAGL8"
"NE",37,"SL","405","CALA21"
"NE",38,"SH","407","CAOV2"
"NE",39,"MH","409","CAAL27"
"NE",40,"AB","531","FAGR"
"NE",41,"AS","540","FRAXI"
"NE",42,"WA","541","FRAM2"
"NE",43,"BA","543","FRNI"
"NE",44,"GA","544","FRPE"
"NE",45,"PA","545","FRPR"
"NE",46,"YP","621","LITU"
"NE",47,"SU","611","LIST2"
"NE",48,"CT","651","MAAC"
"NE",49,"QA","746","POTR5"
"NE",50,"BP","741","POBA2"
"NE",51,"EC","742","PODE3"
"NE",52,"BT","743","POGR4"
"NE",53,"PY","744","POHE4"
"NE",54,"BC","762","PRSE2"
"NE",55,"WO","802","QUAL"
"NE",56,"BR","823","QUMA2"
"NE",57,"CK","826","QUMU"
"NE",58,"PO","835","QUST"
"NE",59,"OK","800","QUERC"
"NE",60,"SO","806","QUCO2"
"NE",61,"QI","817","QUIM"
"NE",62,"WK","827","QUNI"
"NE",63,"PN","830","QUPA2"
"NE",64,"CO","832","QUPR2"
"NE",65,"SW","804","QUBI"
"NE",66,"SN","825","QUMI"
"NE",67,"RO","833","QURU"
"NE",68,"SK","812","QUFA"
"NE",69,"BO","837","QUVE"
"NE",70,"CB","813","QUPA5"
"NE",71,"","",""
"NE",72,"BU","330","AESCU"
"NE",73,"YY","332","AEFL"
"NE",74,"WR","374","BEOC2"
"NE",75,"HK","462","CEOC"
"NE",76,"PS","521","DIVI5"
"NE",77,"HY","591","ILOP"
"NE",78,"BN","601","JUCI"
"NE",79,"WN","602","JUNI"
"NE",80,"OO","641","MAPO"
"NE",81,"MG","650","MAGNO"
"NE",82,"MV","653","MAVI2"
"NE",83,"AP","660","MALUS"
"NE",84,"WT","691","NYAQ2"
"NE",85,"BG","693","NYSY"
"NE",86,"SD","711","OXAR"
"NE",87,"PW","712","PATO2"
"NE",88,"SY","731","PLOC"
"NE",89,"WL","831","QUPH"
"NE",90,"BK","901","ROPS"
"NE",91,"BL","922","SANI"
"NE",92,"SS","931","SAAL5"
"NE",93,"BW","951","TIAM"
"NE",94,"WB","952","TIAMH"
"NE",95,"EL","970","ULMUS"
"NE",96,"AE","972","ULAM"
"NE",97,"RL","975","ULRU"
"NE",98,"OH","998","2TB"
"NE",99,"BE","313","ACNE2"
"NE",100,"ST","315","ACPE"
"NE",101,"AI","341","AIAL"
"NE",102,"SE","356","AMELA"
"NE",103,"AH","391","CACA18"
"NE",104,"DW","491","COFL2"
"NE",105,"HT","500","CRATA"
"NE",106,"HH","701","OSVI"
"NE",107,"PL","760","PRUNU"
"NE",108,"PR","761","PRPE2"
"OC",1,"PC","041","CHLA"
"OC",2,"IC","081","CADE27"
"OC",3,"RC","242","THPL"
"OC",4,"GF","017","ABGR"
"OC",5,"RF","020","ABMA"
"OC",6,"SH","021","ABSH"
"OC",7,"DF","202","PSME"
